full_text;root_token;suffix;confidence
digital;digital;;0.79
"Klavier; das,";das,;;0.67
TV-Paket,;TV-Paket,;;0.60
7e;7e;;0.18
posten;posten;;1.00
B Online einkaufen;einkaufen;;1.00
Selfie, das, -s;Selfie, das,;-s;0.63
"Auswahl, die; Sg:";Sg:;;0.55
"WLAN; das; Sg:";Sg:;;0.60
online-Shopping das, Sg:;Sg:;;0.51
herunter }laden;}laden;;0.49
"online-Kauf, der;";"der;";;0.70
steigen;steigen;;1.00
A;A;;1.00
Die sozialen Netzwerke;Netzwerke;;1.00
Internet-Nutzer /in, der / die,;die,;;0.69
Video, das, -s;Video, das,;-s;0.70
/-nen;/-nen;;0.70
an{schauen;an{schauen;;0.66
an'geben;an'geben;;0.50
Musik-CD , die, -s;Musik-CD , die,;-s;0.45
Medienwelt. die, Sg:;Sg:;;0.68
elektronisch;elektronisch;;0.72
auf {wachsen;{wachsen;;0.96
Haushaltsgerät, das, -e;Haushaltsgerät, das,;-e;0.86
nutzen;nutzen;;0.86
"Netz; das, (hier: Internet) Sg.";Sg.;;0.65
Online-Ticket, das, -s;Online-Ticket, das,;-s;0.45
"Alltag, der; Sg:";Sg:;;0.55
ständig;ständig;;0.98
"Hotelzimmer; das,";das,;;0.76
Pflanze, die,;die,;;0.79
~n;~n;;0.65
aus {tauschen (sich);(sich);;0.62
Wirtschaft, die, Sg-;Sg-;;0.85
verändern;verändern;;1.00
"Bestellung; die, ~en";~en;;0.43
kommunizieren;kommunizieren;;1.00
bewerten;bewerten;;1.00
dabei;dabei;;1.00
Öffnungszeiten, PL.;PL.;;0.85
Videoportal, das, -e;Videoportal, das,;-e;0.67
Produkt, das, -e;Produkt, das,;-e;0.69
Drittel, das,;das,;;0.97
Ware, die,;die,;;0.82
-n;;-n;0.18
"Gesprächsforum; das,";das,;;0.80
foren;foren;;0.95
zurück{schicken;zurück{schicken;;0.97
"Chat, der; -s";"Chat, der;";-s;0.80
online sein;sein;;0.73
negativ;negativ;;1.00
um{gehen (mit);(mit);;0.49
an fassen;fassen;;0.51
knüpfen (hier: Kontakte knüpfen);knüpfen);;0.88
persönlich;persönlich;;1.00
"Freude; die, Sg:";Sg:;;0.45
unzufrieden;unzufrieden;;0.99
"Spiele-App; die,";die,;;0.54
~S;~S;;0.91
online-Geschäft , das, -e;online-Geschäft , das,;-e;0.37
selbstverständlich;selbstverständlich;;0.99
"Online-Anbieter; der;";"der;";;0.78
aus{schalten;aus{schalten;;0.92
das,;das,;;0.72
"""e";"""e";;1.00
süchtig;süchtig;;0.98
positiv;positiv;;1.00
