full_text	root_token	suffix	english_text
loschen	loschen		- I don't know. - I don't know. - I don't know.
das Medium; Medien	Medien		the medium; media
der Koplhorer;	Koplhorer;		the Coplhorer;
das F-Book, -s	das F-Book,	-s	the F-Book, -s
chatten	chatten		chat
drucken	drucken		Print
spannend	spannend		exciting
entspannend	entspannend		relaxing
ab {schicken	{schicken		from send
erreichbar sein	sein		can be reached
der Anhang	Anhang		Annex
~e	~e		I've got a lot to do
A	A		A
Rund ums Internet	Internet		Around the Internet
an {hängen	{hängen		on append
das Online-Spiel, -e	das Online-Spiel,	-e	the online game, -e
die Hilfe,	Hilfe,		help,
~n	~n		~n
die Nachrichten, PL.	PL.		the news, plural
die Option; -en	die Option;	-en	the option; -en
das E-Mail, -s	das E-Mail,	-s	the e-mail, -s
das	das		the
Adressbuch,	Adressbuch,		address book,
~er	~er		He's gonna be all right
die E-Mails checken	checken		check the e-mails
der Posteingang	Posteingang		the inbox
denken	denken		think
aus{wählen	aus{wählen		Select
häufig	häufig		common
nützlich	nützlich		useful
die Information;	Information;		information;
C Fernsehen und Radio	Radio		C Television and radio
im Internet recherchieren	recherchieren		Researching on the Internet
das Fernsehen, Sg.	Sg.		television, singular
mobiles Internet	Internet		Mobile Internet
die Sendung -en	die Sendung	-en	the consignment -
möglich	möglich		possible
laufen: das Radio läuft	läuft		running: the radio is running
unkompliziert	unkompliziert		Uncomplicated
der Spielfilm; -e	der Spielfilm;	-e	the feature film; -e
warum	warum		why
weil	weil		because
das Quiz, Sg.	Sg.		the quiz, singular
der Dokumentarfilm, -e	der Dokumentarfilm,	-e	the documentary film, -e
B	B		B
Mit dem Computer arbeiten	arbeiten		Working with the computer
die Serie,	Serie,		the series,
~n	~n		~n
der Internetzugang,	Internetzugang,		Internet access;
~e	~e		I've got a lot to do
die Talkshow, -s	die Talkshow,	-s	the talk show, -s
die Software; Sg.	Sg.		the software; singular
international	international		international
die App, -s	die App,	-s	the app, -s
der Krimi, -s	der Krimi,	-s	The mystery, -s
soziale Netzwerke	Netzwerke		social networks
die Werbung, ~en	~en		the advertising,
die Datei, ~en	~en		the file, ~en
die Internetseite,	Internetseite,		the website;
n	n		n
das E-Mail-Programm, -e	das E-Mail-Programm,	-e	the e-mail program, -e
die Verkehrsmeldung ~en	~en		the traffic message
speichern	speichern		Save
der Wetterbericht,	Wetterbericht,		the weather report,
e	e		e
@lfnen	@lfnen		@infnen
schließen	schließen		Close
beenden	beenden		End
senden	senden		send
"""e"	"""e"		"""and"
~en	~en		
